State_Name,Season,Crop,Area,Production
2,1,14,1000.0,700.0
2,1,11,200.0,200.0
2,4,7,3200.0,4100.0
2,4,13,31100.0,83800.0
2,4,9,100.0,300.0
2,4,17,1600.0,2700.0
2,4,1,62400.0,159200.0
2,4,21,300.0,100.0
2,4,14,800.0,300.0
2,2,5,34500.0,3377000.0
2,1,15,2.0,2.0
2,1,13,188615.0,79784.0
2,1,16,1360.0,797.0
2,1,9,181.0,514.0
2,1,20,5096.0,637.0
2,1,10,159.0,113.0
2,1,17,8199.0,5666.0
2,1,1,37542.0,75477.0
2,1,21,484.0,117.0
2,1,14,1207.0,700.0
2,1,11,120.0,73.0
2,4,18,1.0,1.0
2,4,13,26755.0,63383.0
2,4,16,39.0,40.0
2,4,22,28.0,2.0
2,4,9,67.0,324.0
2,4,10,85.0,23.0
2,4,17,1354.0,1887.0
2,4,1,37489.0,76800.0
2,4,21,587.0,135.0
2,4,11,70.0,46.0
2,2,7,3370.0,4968.0
2,2,23,548.0,8149.0
2,2,5,44929.0,4097998.0
2,1,12,6032.0,2172.0
2,1,15,19.0,25.0
2,1,7,522.0,770.0
2,1,18,6.0,5.0
2,1,13,192106.0,218617.0
2,1,16,3556.0,2703.0
2,1,9,357.0,930.0
2,1,10,138.0,61.0
2,1,23,286.0,3991.0
2,1,17,11350.0,12133.0
2,1,1,33776.0,89236.0
2,1,24,2348.0,587.0
2,1,21,432.0,100.0
2,1,25,2361.0,596.0
2,1,14,535.0,449.0
2,1,11,120.0,7.0
2,4,7,2676.0,3056.0
2,4,13,22396.0,60156.0
2,4,16,54.0,65.0
2,4,22,30.0,6.0
2,4,9,56.0,302.0
2,4,10,42.0,14.0
2,4,23,230.0,5494.0
2,4,17,1667.0,2405.0
2,4,38,2.0,1.0
2,4,1,41442.0,97181.0
2,4,21,735.0,154.0
2,4,11,168.0,135.0
2,4,19,5.0,3.0
2,2,2,953.0,19033.0
2,2,3,126.0,27.0
2,2,4,4011.0,17215660.0
2,2,26,60.0,19.0
2,2,27,957.0,8177.0
2,2,5,40539.0,3697441.0
2,2,6,163.0,2203.0
2,2,8,89.0,620.0
2,1,12,5403.0,924.0
2,1,15,2.0,2.0
2,1,7,443.0,641.0
2,1,18,5.0,6.0
2,1,13,171365.0,125096.0
2,1,16,2400.0,2174.0
2,1,9,294.0,786.0
2,1,10,225.0,109.0
2,1,23,248.0,3441.0
2,1,17,11835.0,8758.0
2,1,1,24377.0,55311.0
2,1,24,1976.0,522.0
2,1,21,162.0,27.0
2,1,25,1989.0,532.0
2,1,14,1358.0,1177.0
2,1,11,141.0,51.0
2,4,7,2958.0,4609.0
2,4,13,21443.0,59311.0
2,4,16,46.0,67.0
2,4,22,21.0,5.0
2,4,9,81.0,524.0
2,4,10,82.0,25.0
2,4,23,304.0,6772.0
2,4,17,1776.0,2366.0
2,4,1,62049.0,170573.0
2,4,21,442.0,214.0
2,4,11,189.0,129.0
2,2,2,1005.0,7156.0
2,2,3,126.0,34.0
2,2,4,4133.0,14827800.0
2,2,26,51.0,18.0
2,2,27,1024.0,9447.0
2,2,5,38789.0,3337250.0
2,2,6,188.0,2495.0
2,2,8,69.0,341.0
2,1,12,4113.0,440.0
2,1,7,519.0,791.0
2,1,13,101638.0,50108.0
2,1,16,1647.0,865.0
2,1,9,261.0,253.0
2,1,10,174.0,26.0
2,1,23,205.0,2451.0
2,1,17,6905.0,6643.0
2,1,1,20137.0,50020.0
2,1,21,234.0,22.0
2,1,25,1687.0,364.0
2,1,14,2098.0,1320.0
2,1,11,133.0,7.0
2,4,12,17.0,2.0
2,4,7,2199.0,4253.0
2,4,18,20.0,16.0
2,4,13,18706.0,52714.0
2,4,16,130.0,155.0
2,4,22,14.0,4.0
2,4,9,284.0,1968.0
2,4,10,172.0,44.0
2,4,23,266.0,4753.0
2,4,17,1102.0,1365.0
2,4,1,30034.0,76827.0
2,4,21,386.0,125.0
2,4,11,260.0,151.0
2,4,19,5.0,7.0
2,2,2,960.0,50841.0
2,2,29,1784.0,18027.0
2,2,3,121.0,15.0
2,2,30,232.0,1172.0
2,2,4,4296.0,17209269.0
2,2,26,86.0,24.0
2,2,31,36.0,673.0
2,2,32,47834.0,335015.0
2,2,33,4.0,39.0
2,2,34,114.0,153.0
2,2,36,39.0,5087.0
2,2,27,1126.0,9776.0
2,2,5,39436.0,2684685.0
2,2,6,160.0,1739.0
2,2,37,16838.0,139087.0
2,2,8,76.0,247.0
2,1,12,8476.0,636.0
2,1,7,412.0,1014.0
2,1,13,137201.0,92611.0
2,1,16,2410.0,2832.0
2,1,9,742.0,1273.0
2,1,10,631.0,343.0
2,1,23,253.0,3691.0
2,1,17,10014.0,8392.0
2,1,1,18495.0,38562.0
2,1,24,2058.0,698.0
2,1,21,186.0,54.0
2,1,25,2074.0,710.0
2,1,14,2563.0,1488.0
2,1,11,433.0,267.0
2,4,12,10.0,1.0
2,4,7,2792.0,5832.0
2,4,13,22411.0,51164.0
2,4,16,6.0,7.0
2,4,22,19.0,5.0
2,4,9,392.0,2195.0
2,4,10,221.0,75.0
